ano,regiao,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2005,Nordeste,estadual,fundamental,finais (6-9),66.8,0.668975,219.58,215.92,3.9250629,2.6,
2005,Nordeste,estadual,fundamental,iniciais (1-5),73.8,0.743397,162.61,156.61,3.915113,2.9,
2005,Nordeste,estadual,medio,todos (1-4),68.2,0.73081899,247.52,237.1,3.7153449,2.7,
2005,Nordeste,privada,fundamental,finais (6-9),92.2,0.92223901,282.1,265.69,5.7967,5.3,
2005,Nordeste,privada,fundamental,iniciais (1-5),96,0.95201099,211.16,199.88,5.6283898,5.4,
2005,Nordeste,privada,medio,todos (1-4),90.8,0.91683102,319.33,299.08,5.6520138,5.2,
2005,Nordeste,publica,fundamental,finais (6-9),67.1,0.67852902,217.11,212.86,3.833277,2.6,
2005,Nordeste,publica,fundamental,iniciais (1-5),70.8,0.72717601,156.41,149.6,3.6691821,2.7,
2005,Nordeste,total,fundamental,finais (6-9),69.3,0.69963098,225.21,219.44,4.0776372,2.9,
2005,Nordeste,total,fundamental,iniciais (1-5),73.1,0.74759799,162.46,155.14,3.8853049,2.9,
2005,Nordeste,total,medio,todos (1-4),70.9,0.75493997,258.16,246.22,4.0013041,3,
2007,Nordeste,estadual,fundamental,finais (6-9),69,0.69203001,226.92,217.94,4.0813332,2.8,2.7
2007,Nordeste,estadual,fundamental,iniciais (1-5),77.2,0.77756703,177.08,161.08,4.2764912,3.3,3
2007,Nordeste,estadual,medio,todos (1-4),69.6,0.73864901,250.07,241.52,3.817302,2.8,2.7
2007,Nordeste,privada,fundamental,finais (6-9),93.2,0.93299198,282.67,264.04,5.778667,5.4,5.4
2007,Nordeste,privada,fundamental,iniciais (1-5),96.5,0.96436,214.57,199.67,5.694603,5.5,5.4
2007,Nordeste,privada,medio,todos (1-4),92.5,0.93450999,312.11,295.95,5.5036111,5.1,5.2
2007,Nordeste,publica,fundamental,finais (6-9),71,0.717085,225.82,215.99,4.0301671,2.9,2.6
2007,Nordeste,publica,fundamental,iniciais (1-5),77.8,0.786937,174.35,157.32,4.1555581,3.3,2.7
2007,Nordeste,total,fundamental,finais (6-9),72.6,0.73264199,233.27,222.28,4.2595482,3.1,2.9
2007,Nordeste,total,fundamental,iniciais (1-5),79.2,0.80078697,179.19,162.41,4.340723,3.5,3
2007,Nordeste,total,medio,todos (1-4),71.6,0.75787097,258.14,248.49,4.0352039,3.1,3
2009,Nordeste,estadual,fundamental,finais (6-9),70.7,0.70670402,228.94,227.72,4.277667,3,2.8
2009,Nordeste,estadual,fundamental,iniciais (1-5),80.4,0.81162,184.33,167.16,4.5256171,3.7,3.3
2009,Nordeste,estadual,medio,todos (1-4),72.1,0.76222903,253.58,252.25,4.0275192,3.1,2.8
2009,Nordeste,privada,fundamental,finais (6-9),93.3,0.93248397,284.66,271.32,5.9330001,5.5,5.5
2009,Nordeste,privada,fundamental,iniciais (1-5),96.7,0.96697998,224.82,207.86,6.0392509,5.8,5.7
2009,Nordeste,privada,medio,todos (1-4),92.4,0.92139602,317.79,303.05,5.689683,5.2,5.3
2009,Nordeste,publica,fundamental,finais (6-9),73.5,0.74107301,227.75,225.97,4.2286668,3.1,2.8
2009,Nordeste,publica,fundamental,iniciais (1-5),81.9,0.82397902,182.03,165.32,4.4480171,3.7,3.1
2009,Nordeste,total,fundamental,finais (6-9),75.5,0.76013303,235.86,232.42,4.4714999,3.4,3
2009,Nordeste,total,fundamental,iniciais (1-5),83.6,0.84117597,184.03,167.3,4.5224309,3.8,3.3
2009,Nordeste,total,medio,todos (1-4),74.3,0.78151202,261.29,258.35,4.2271228,3.3,3.1
2011,Nordeste,estadual,fundamental,finais (6-9),72.9,0.72796899,231.35,226.85,4.3033328,3.1,3.1
2011,Nordeste,estadual,fundamental,iniciais (1-5),83.5,0.84486198,187.69,171.77,4.6734838,3.9,3.7
2011,Nordeste,estadual,medio,todos (1-4),74.2,0.77838498,248.8,248.11,3.8984079,3,3
2011,Nordeste,privada,fundamental,finais (6-9),93.3,0.932495,285.91,273.35,5.987833,5.6,5.7
2011,Nordeste,privada,fundamental,iniciais (1-5),97,0.97059298,227.41,210.33,6.1336699,6,6.1
2011,Nordeste,privada,medio,todos (1-4),92.9,0.93570203,320.45,304.64,5.7509861,5.4,5.5
2011,Nordeste,publica,fundamental,finais (6-9),75.7,0.76169598,230.33,225.16,4.2583332,3.2,3
2011,Nordeste,publica,fundamental,iniciais (1-5),85.8,0.86061502,186.83,170.92,4.6415901,4,3.5
2011,Nordeste,total,fundamental,finais (6-9),77.7,0.78135502,239.13,232.8,4.532167,3.5,3.3
2011,Nordeste,total,fundamental,iniciais (1-5),87.5,0.87615103,190.83,174.55,4.7838688,4.2,3.7
2011,Nordeste,total,medio,todos (1-4),76.3,0.79444402,257.85,255.22,4.1318111,3.3,3.3
2013,Nordeste,estadual,fundamental,finais (6-9),75.2,0.749358,232.36,229.52,4.3648329,3.3,3.5
2013,Nordeste,estadual,fundamental,iniciais (1-5),85.7,0.86915302,188.1,174.8,4.7364359,4.1,4
2013,Nordeste,estadual,medio,todos (1-4),77.5,0.80334997,246.19,241.55,3.763397,3,3.3
2013,Nordeste,privada,fundamental,finais (6-9),93.7,0.93699199,283.2,273.8,5.9503331,5.6,6.1
2013,Nordeste,privada,fundamental,iniciais (1-5),97.3,0.973194,230.8,217.38,6.3268681,6.2,6.3
2013,Nordeste,privada,medio,todos (1-4),93.4,0.93525702,309.41,298.85,5.5089631,5.2,5.7
2013,Nordeste,publica,fundamental,finais (6-9),77.5,0.77900201,230.88,227.88,4.3128328,3.4,3.4
2013,Nordeste,publica,fundamental,iniciais (1-5),88,0.88270998,186.08,173.1,4.6667328,4.1,3.7
2013,Nordeste,total,fundamental,finais (6-9),79.6,0.79970098,239.77,235.69,4.591167,3.7,3.7
2013,Nordeste,total,fundamental,iniciais (1-5),89.6,0.897654,190.44,177.77,4.83499,4.3,4
2013,Nordeste,total,medio,todos (1-4),79.3,0.81868398,254.8,249.33,4.0009408,3.3,3.6
2015,Nordeste,estadual,fundamental,finais (6-9),75.5,0.74984598,241.17,238.61,4.663167,3.5,3.8
2015,Nordeste,estadual,fundamental,iniciais (1-5),85.5,0.86632901,197.67,186.77,5.1372242,4.5,4.3
2015,Nordeste,estadual,medio,todos (1-4),78.7,0.81338298,250.21,249.16,3.933789,3.2,3.6
2015,Nordeste,privada,fundamental,finais (6-9),94.4,0.94399601,282.26,277.54,5.9968328,5.7,6.4
2015,Nordeste,privada,fundamental,iniciais (1-5),97.6,0.975995,229.92,224.25,6.4350319,6.3,6.5
2015,Nordeste,privada,medio,todos (1-4),93.9,0.94767302,298.45,299.92,5.371048,5.1,6
2015,Nordeste,publica,fundamental,finais (6-9),78.9,0.79263902,240.5,237.8,4.6385002,3.7,3.8
2015,Nordeste,publica,fundamental,iniciais (1-5),88.6,0.88835299,199.72,188.28,5.20367,4.6,4
2015,Nordeste,total,fundamental,finais (6-9),81,0.81364602,248.08,245.03,4.8855,4,4.1
2015,Nordeste,total,fundamental,iniciais (1-5),90.3,0.90402699,203.3,192.3,5.3452001,4.8,4.3
2015,Nordeste,total,medio,todos (1-4),80.5,0.82778502,256.92,256.2,4.1332712,3.4,3.9
2017,Nordeste,estadual,fundamental,finais (6-9),79.4,0.791682,240.19,244.14,4.7391672,3.8,4.1
2017,Nordeste,estadual,fundamental,iniciais (1-5),87.9,0.88701099,201.35,193.66,5.3324981,4.7,4.6
2017,Nordeste,estadual,medio,todos (1-4),81.6,0.81519699,251.11,251.08,3.975023,3.2,4
2017,Nordeste,privada,fundamental,finais (6-9),95.7,0.95649201,286.58,282.79,6.156333,5.9,6.6
2017,Nordeste,privada,fundamental,iniciais (1-5),98.2,0.98199803,236.1,230.33,6.6635218,6.5,6.8
2017,Nordeste,privada,medio,todos (1-4),95,0.95004803,318.05,308.08,5.768775,5.5,6.4
2017,Nordeste,publica,fundamental,finais (6-9),81.4,0.81680501,240.61,243.83,4.7408328,3.9,4.1
2017,Nordeste,publica,fundamental,iniciais (1-5),90.1,0.90366602,203.91,195.69,5.4187131,4.9,4.3
2017,Nordeste,total,fundamental,finais (6-9),83.4,0.83692402,249.16,251.08,5.0041671,4.2,4.3
2017,Nordeste,total,fundamental,iniciais (1-5),91.7,0.91848397,207.77,199.39,5.559772,5.1,4.6
2017,Nordeste,total,medio,todos (1-4),83,0.83416498,259.95,258.58,4.2116051,3.5,4.4
2019,Nordeste,estadual,fundamental,finais (6-9),84,0.83653003,246.07,246.44,4.8751669,4.1,4.4
2019,Nordeste,estadual,fundamental,iniciais (1-5),90.2,0.90820497,206.53,195.61,5.4673181,5,4.9
2019,Nordeste,estadual,medio,todos (1-4),85.3,0.840819,259.14,263.48,4.2734318,3.6,4.3
2019,Nordeste,privada,fundamental,finais (6-9),96.4,0.96424598,292.05,286.6,6.3111668,6.1,6.8
2019,Nordeste,privada,fundamental,iniciais (1-5),98.6,0.98579901,238.74,228.77,6.6855879,6.6,7
2019,Nordeste,privada,medio,todos (1-4),95.6,0.96059197,325.14,316.83,5.999341,5.8,6.5
2019,Nordeste,publica,fundamental,finais (6-9),85.6,0.85832101,248.08,247.5,4.9264998,4.2,4.3
2019,Nordeste,publica,fundamental,iniciais (1-5),92.5,0.92667001,210.3,198.02,5.582819,5.2,4.6
2019,Nordeste,total,fundamental,finais (6-9),87.2,0.87454098,256.52,255.02,5.1925001,4.5,4.6
2019,Nordeste,total,fundamental,iniciais (1-5),93.7,0.93875003,213.97,201.61,5.7184381,5.4,4.9
2019,Nordeste,total,medio,todos (1-4),86.3,0.86343402,267.55,270.26,4.4931879,3.9,4.6
2021,Nordeste,total,fundamental,iniciais (1-5),97.1,0.971641,205.24,196.74,5.462852,5.3,
2021,Nordeste,publica,fundamental,iniciais (1-5),96.7,0.967953,200.05,192.24,5.281828,5.1,
2021,Nordeste,privada,fundamental,iniciais (1-5),98.9,0.988796,238.16,230.69,6.709432,6.6,
2021,Nordeste,estadual,fundamental,iniciais (1-5),94.4,0.949618,198.66,190.17,5.217615,5,
2021,Nordeste,total,fundamental,finais (6-9),94.5,0.944938,249.51,252.74,5.0375,4.8,
2021,Nordeste,publica,fundamental,finais (6-9),93.9,0.938913,242.7,246.55,4.820833,4.5,
2021,Nordeste,privada,fundamental,finais (6-9),98.3,0.982499,282.28,282.48,6.079333,6,
2021,Nordeste,estadual,fundamental,finais (6-9),93.8,0.938125,243.1,248.04,4.852333,4.6,
2021,Nordeste,total,medio,todos (1-4),91,0.908373,259.84,266.2,4.323982,3.9,
2021,Nordeste,privada,medio,todos (1-4),98.1,0.949781,311.91,309.45,5.702758,5.4,
2021,Nordeste,estadual,medio,todos (1-4),90.5,0.909808,253.64,261.06,4.159958,3.8,
